contract_id,contract_name,address,file_path,compiler_version,data_source,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,has_reentrancy_unlimited,has_reentrancy_benign,has_reentrancy_events,has_unchecked_transfer,has_controlled_delegatecall,has_delegatecall_loop,has_uninitialized_state,has_uninitialized_storage,has_uninitialized_local,has_tx_origin,has_inline_assembly,has_locked_ether,has_msg_value_loop,has_shadowing_state,has_shadowing_builtin,has_shadowing_abstract,has_unused_state_vars,has_unused_return_values,has_incorrect_solc_version,has_floating_pragma,has_outdated_compiler,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls,lines_of_code,num_contracts_in_file,num_dependencies,avg_function_complexity,num_functions_high_complexity,num_comments,comment_to_code_ratio,num_payable_functions,num_library_calls,inheritance_depth,num_unused_functions,high_confidence_detectors,medium_confidence_detectors,low_confidence_detectors,security_detectors_triggered,optimization_detectors_triggered,total_detector_hits,unique_vulnerability_types,detectors_per_function,detectors_per_loc,risk_score_simple,risk_score_weighted,is_high_risk,contract_complexity_category,failure_reason,error_message,cfg_num_nodes,cfg_num_edges,cfg_num_cycles,cfg_max_depth,cfg_avg_branching,cfg_has_complex_loops,cfg_num_exit_points,cfg_cyclomatic_total,cg_num_nodes,cg_num_edges,cg_max_call_depth,cg_num_external_calls,cg_external_call_ratio,cg_has_cyclic_calls,cg_num_public_entry_points,cg_num_internal_functions,cg_avg_calls_per_function,cg_num_leaf_functions,dfg_num_state_vars,dfg_num_tainted_flows,dfg_has_cross_function_flow,dfg_num_sensitive_sinks,dfg_num_external_sources,dfg_taint_to_sink_ratio,dfg_num_unvalidated_inputs,label
521,DextfToken,0x5f64ab1500000000000000000000000000000000,blockchain/contracts/collected/DextfToken_0x5f64ab15.sol,,manual,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,0,0,25,2,0,1,0,1,0,769,6,1,1.0,0,447,0.5812743823146944,0,0,2,0,10,16,0,0,0,7,4,0.0,0.0,25.0,75.71428571428572,True,critical,,,4,2,0,2,0.5,False,0,2,2,2,1,0,0.0,True,1,1,1.0,2,1,0,True,0,0,0.0,0,
523,IndexToken,0x0954906d00000000000000000000000000000000,blockchain/contracts/collected/IndexToken_0x0954906d.sol,,manual,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0,1,5,20,3,12,0,14,0,249,1,1,2.5,2,80,0.321285140562249,0,0,0,0,4,2,0,1,0,5,3,0.0,0.0,10.0,10.8,True,moderate,,,141,131,2,19,0.9290780141843972,True,19,50,20,30,4,3,0.09090909090909091,False,10,10,1.5,10,12,7,True,0,43,0.0,18,
524,SNT,0x744d70fd00000000000000000000000000000000,blockchain/contracts/collected/SNT_0x744d70fd.sol,,manual,True,False,True,False,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,6,12,151,2,0,0,0,1,0,1484,15,1,1.0,0,655,0.4413746630727763,0,0,2,0,117,58,0,18,3,22,7,0.0,0.0,271.0,1941.3454545454542,True,critical,,,3,1,0,1,0.3333333333333333,False,0,2,2,1,1,0,0.0,False,1,1,0.5,2,0,0,False,0,1,0.0,1,
525,Chiba,0xa5c45d4800000000000000000000000000000000,blockchain/contracts/collected/Chiba_0xa5c45d48.sol,,manual,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,1,2,15,8,10,8,0,7,0,292,6,1,2.25,0,15,0.05136986301369863,2,0,2,0,11,11,0,3,2,13,4,0.0,0.0,35.0,50.346153846153854,True,complex,,,55,52,0,12,0.9454545454545454,False,0,18,8,16,1,10,0.38461538461538464,True,5,3,2.0,12,8,0,True,1,3,0.0,1,
526,Qtoken,0xea01906800000000000000000000000000000000,blockchain/contracts/collected/Qtoken_0xea019068.sol,,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,19,9,7,7,0,3,0,95,2,1,1.2222222222222223,0,13,0.1368421052631579,0,6,0,0,16,3,0,0,0,4,1,0.0,0.0,19.0,85.975,False,complex,,,44,36,0,8,0.8181818181818182,False,7,11,9,2,1,7,0.7777777777777778,False,8,1,0.2222222222222222,8,7,5,True,3,14,1.6666666666666667,7,
528,Token,0xa37f4d2d00000000000000000000000000000000,blockchain/contracts/collected/Token_0xa37f4d2d.sol,,manual,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,3,4,24,21,35,29,1,25,0,277,7,1,2.4761904761904763,1,8,0.02888086642599278,2,5,2,0,28,15,0,7,4,16,4,0.0,0.0,74.0,178.0625,True,critical,,,151,145,0,21,0.9602649006622517,False,11,52,21,33,3,35,0.5147058823529411,False,14,7,1.5714285714285714,18,29,5,True,5,20,1.0,10,
529,Token,0x00869e8e00000000000000000000000000000000,blockchain/contracts/collected/Token_0x00869e8e.sol,,manual,False,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,1,16,42,4,0,6,0,7,0,785,13,1,2.5,0,2,0.0025477707006369425,0,0,3,0,20,44,0,17,5,17,6,0.0,0.0,132.0,394.44705882352946,True,critical,,,25,23,0,8,0.92,False,2,10,4,6,1,0,0.0,True,2,2,1.5,6,6,1,True,0,7,0.0,2,
530,IMXToken,0xf57e7e7c00000000000000000000000000000000,blockchain/contracts/collected/IMXToken_0xf57e7e7c.sol,,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,14,3,0,1,1,1,0,639,9,1,1.0,0,427,0.6682316118935837,0,0,3,0,10,4,0,0,0,4,1,0.0,0.0,14.0,44.8,False,complex,,,9,6,0,3,0.6666666666666666,False,0,3,3,6,1,0,0.0,True,2,1,2.0,4,1,0,True,0,3,0.0,2,
534,URQAToken,0x1735db6a00000000000000000000000000000000,blockchain/contracts/collected/URQAToken_0x1735db6a.sol,,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,0,8,27,4,0,0,0,4,0,1081,6,1,1.75,0,533,0.49306197964847365,0,0,2,0,14,21,0,8,0,6,2,0.0,0.0,67.0,320.4833333333333,True,critical,,,18,15,1,5,0.8333333333333334,False,1,7,4,6,1,0,0.0,True,2,2,1.5,5,0,0,False,0,5,0.0,2,
535,ZERO,0xf093901100000000000000000000000000000000,blockchain/contracts/collected/ZERO_0xf0939011.sol,,manual,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0,0,7,18,12,16,1,3,0,168,3,1,1.1111111111111112,0,16,0.09523809523809523,0,5,1,0,4,3,0,0,0,5,3,0.0,0.0,7.0,8.54,True,moderate,,,77,60,0,9,0.7792207792207793,False,6,20,18,29,3,12,0.2926829268292683,False,11,7,1.6111111111111112,11,16,9,True,1,44,9.0,15,
